restaurant_id,category_menuitem,name_menuitem,description,price,id,position,name_restaurant,score,ratings,category_restaurant,price_range,full_address,zip_code,lat,lng,city
8537,Picked for you,Nasi Goreng Indonesia,"Indonesian style fried rice served with crackers and choice of chicken, beef, pork, tofu, or shrimp. Consists of corn fritter, spicy egg, and stir fry vegetables.",14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Picked for you,Rendang Sapi,Tender dry beef curry slow cooked in our traditional coconut sauce with eggs and crackers.,17.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Picked for you,Kwetiau Goreng Indonesia,Indonesian style stir fry wide rice noodle.,14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Appetizers,Batagor,Fried tofu filled with fish and chicken topped with peanut sauce.,9.0 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Appetizers,Siomay Campur Bandung,"Mixed plate of siomay, batagor, and egg served with peanut sauce.",12.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Appetizers,Sate Ayam,"Grilled marinated chicken skewers, topped with peanut sauce and sweet soy sauce.",12.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Appetizers,Siomay,Indonesian fish and chicken dumplings topped with peanut sauce.,10.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Soups and Noodle Soups,Bihun Bola,Fine rice noodles with jumbo beef meatballs and vegetables in soup.,10.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Soups and Noodle Soups,Bihun Bakso,Fine rice noodles with beef meatballs and vegetables in soup.,10.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Poultry and Meats,Ayam Goreng Mbok Berek,Javanese fried chicken topped with deep fried savory crumbs.,14.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Poultry and Meats,Ayam Cabe Ijo,Padangnese chicken with green chili sauce.,14.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Poultry and Meats,Ayam Goreng Balado,Fried chicken simmered in special spicy sauce.,14.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Poultry and Meats,Rendang Sapi,Tender dry beef curry slow cooked in our traditional coconut sauce with eggs and crackers.,17.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Poultry and Meats,Ayam Goreng Penyet,Crushed fried chicken served with rice and chili paste.,13.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Poultry and Meats,Ayam Bakar Kecap,Grilled chicken served with sweet BBQ sauce.,14.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Poultry and Meats,Ayam Bakar Manado,Manadonese spicy BBQ chicken.,14.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Mini Rijsttafel,MR Ayam Goreng Balado,Fried chicken topped with balado chili sauce.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Mini Rijsttafel,MR Ayam Goreng Mbok Berek,Javanese fried chicken topped with deep fried savory crumbs.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Mini Rijsttafel,MR Ayam Cabe Ijo,Padangnese chicken with green chili sauce.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Mini Rijsttafel,MR Rendang Sapi,Tender dry beef curry slow-cooked in our traditional coconut sauce with eggs and crackers.,19.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Mini Rijsttafel,MR Ayam Bakar Kecap,Grilled chicken served with sweet BBQ sauce.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Mini Rijsttafel,MR Ayam Bakar Manado,Manadonese spicy BBQ chicken.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Noodles,Kwetiau Goreng Indonesia,Indonesian style stir fry wide rice noodle.,14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Noodles,Bihun Goreng Indonesia,Indonesian style stir-fry fine rice noodle.,14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Rice,Nasi Gila Menteng,"Stir fry chicken, sausage and beef meatball in special sauce over rice topped with onion crackers. Consists of corn fritter, spicy egg, and stir fry vegetables.",14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Rice,Nasi Goreng Indonesia,"Indonesian style fried rice served with crackers and choice of chicken, beef, pork, tofu, or shrimp. Consists of corn fritter, spicy egg, and stir fry vegetables.",14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Rice,Nasi Uduk Komplit,"Indonesian coconut rice plate consisting of fried chicken, hard boiled egg topped with spicy sauce, fried anchovies, and crackers. Consists of corn fritter, spicy egg, and stir fry vegetables.",14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Rice,Nasi Kuning Komplit,"Indonesian coconut rice plate consisting of fried chicken, hard boiled egg topped with spicy sauce, fried anchovies, and crackers. Consists of corn fritter, spicy egg, and stir fry vegetables.",14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Rice,Nasi Goreng Kuning,"Fried yellow rice plate topped with pork floss and choice of chicken, beef, pork, tofu, or shrimp. Consists of corn fritter, spicy egg, and stir fry vegetables.",16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Rice,Nasi Goreng Uduk,"Fried coconut rice plate topped with pork floss and choice of chicken, beef, pork, tofu, or shrimp. Consists of corn fritter, spicy egg, and stir fry vegetables.",16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8537,Rice,Nasi Pedas,"Indonesian fiery fried rice served with chicken, egg and crackers (not for the faint of heart)",14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066,"Seattle, WA"
8561,Burgers &amp; Sandwiches,Grilled Tempeh Burger,"sauteed organic tempeh &amp; roasted red pepper sauce on a 7-grain bun or gluten-free cornbread, served with lettuce, tomato &amp; radish sprouts",13.95 USD,8561,40,Sunlight Cafe,4.9,60.0,"Vegetarian, Vegan, Healthy",$$,"6404 9th Ave NE, Seattle, WA, 98115",98115,47.6751518,-122.3175976,"Seattle, WA"
